product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,promo_discount_type_2
P0005,S0001,2/1/2017,0,0,7,33.9,PR14,,PR03,,,
P0011,S0001,2/1/2017,0,0,10,49.9,PR14,,PR03,,,
P0015,S0001,2/1/2017,1,2.41,20,2.6,PR14,,PR03,,,
P0017,S0001,2/1/2017,0,0,13,1.49,PR14,,PR03,,,
P0018,S0001,2/1/2017,0,0,49,1.95,PR14,,PR03,,,
P0024,S0001,2/1/2017,0,0,23,1.95,PR14,,PR03,,,
P0035,S0001,2/1/2017,2,4.54,14,2.45,PR14,,PR03,,,
P0046,S0001,2/1/2017,0,0,4,34.5,PR14,,PR03,,,
P0051,S0001,2/1/2017,0,0,27,0.7,PR14,,PR03,,,
P0054,S0001,2/1/2017,0,0,6,3.95,PR14,,PR03,,,
P0055,S0001,2/1/2017,0,0,14,3.5,PR05,verylow,PR03,,,
P0057,S0001,2/1/2017,0,0,6,12.9,PR14,,PR03,,,
P0060,S0001,2/1/2017,0,0,1,15.9,PR14,,PR03,,,
P0062,S0001,2/1/2017,0,0,1,19.9,PR14,,PR03,,,
P0066,S0001,2/1/2017,0,0,43,2.5,PR14,,PR03,,,
P0067,S0001,2/1/2017,0,0,4,15.9,PR14,,PR03,,,
P0068,S0001,2/1/2017,0,0,6,5.1,PR10,verylow,PR03,,,
P0070,S0001,2/1/2017,0,0,1,6.25,PR14,,PR03,,,
P0071,S0001,2/1/2017,0,0,1,9.45,PR14,,PR03,,,
P0072,S0001,2/1/2017,0,0,13,3.9,PR14,,PR03,,,
P0079,S0001,2/1/2017,0,0,46,2.25,PR14,,PR03,,,
P0080,S0001,2/1/2017,0,0,10,7.9,PR06,veryhigh,PR03,,,
P0083,S0001,2/1/2017,0,0,2,6.9,PR05,moderate,PR03,,,
P0089,S0001,2/1/2017,0,0,2,5.99,PR14,,PR03,,,
P0090,S0001,2/1/2017,0,0,6,2.9,PR14,,PR03,,,
P0092,S0001,2/1/2017,0,0,20,1.55,PR14,,PR03,,,
P0099,S0001,2/1/2017,0,0,19,10.9,PR14,,PR03,,,
P0103,S0001,2/1/2017,13,31.9,52,2.65,PR14,,PR03,,,
P0109,S0001,2/1/2017,0,0,19,8.95,PR14,,PR03,,,
P0110,S0001,2/1/2017,1,2.73,4,2.95,PR14,,PR03,,,
P0114,S0001,2/1/2017,0,0,12,0.45,PR14,,PR03,,,
P0116,S0001,2/1/2017,0,0,1,0.85,PR14,,PR03,,,
P0125,S0001,2/1/2017,0,0,22,2.45,PR14,,PR03,,,
P0129,S0001,2/1/2017,0,0,10,24.95,PR14,,PR03,,,
P0131,S0001,2/1/2017,0,0,28,2.25,PR14,,PR03,,,
P0132,S0001,2/1/2017,0,0,2,7.99,PR14,,PR03,,,
P0137,S0001,2/1/2017,0,0,8,23.9,PR14,,PR03,,,
P0140,S0001,2/1/2017,2,11,13,5.5,PR14,,PR03,,,
P0144,S0001,2/1/2017,0,0,4,4.95,PR10,low,PR03,,,
P0147,S0001,2/1/2017,0,0,6,3.99,PR14,,PR03,,,
P0148,S0001,2/1/2017,4,21.3,5,5.75,PR14,,PR03,,,
P0150,S0001,2/1/2017,0,0,6,12.99,PR14,,PR03,,,
P0151,S0001,2/1/2017,0,0,2,5.9,PR14,,PR03,,,
P0157,S0001,2/1/2017,0,0,5,6.95,PR14,,PR03,,,
P0160,S0001,2/1/2017,0,0,12,2.5,PR14,,PR03,,,
P0162,S0001,2/1/2017,0,0,9,3.9,PR14,,PR03,,,
P0164,S0001,2/1/2017,0,0,7,24.9,PR14,,PR03,,,
P0165,S0001,2/1/2017,0,0,24,1.4,PR14,,PR03,,,
P0169,S0001,2/1/2017,1,4.23,9,4.99,PR14,,PR03,,,
P0171,S0001,2/1/2017,0,0,7,9.85,PR14,,PR03,,,
P0175,S0001,2/1/2017,0,0,5,5.5,PR05,high,PR03,,,
P0177,S0001,2/1/2017,0,0,12,10.9,PR14,,PR03,,,
P0183,S0001,2/1/2017,0,0,10,5.95,PR14,,PR03,,,
P0184,S0001,2/1/2017,0,0,12,47.5,PR14,,PR03,,,
P0185,S0001,2/1/2017,2,1.5,0,0.75,PR14,,PR03,,,
P0187,S0001,2/1/2017,0,0,1,21,PR14,,PR03,,,
P0195,S0001,2/1/2017,0,0,3,5.75,PR14,,PR03,,,
P0196,S0001,2/1/2017,0,0,60,7.9,PR14,,PR03,,,
P0197,S0001,2/1/2017,0,0,35,3.5,PR14,,PR03,,,
P0201,S0001,2/1/2017,0,0,8,14.9,PR14,,PR03,,,
P0204,S0001,2/1/2017,0,0,64,5.9,PR14,,PR03,,,
P0205,S0001,2/1/2017,0,0,11,13.9,PR14,,PR03,,,
P0211,S0001,2/1/2017,0,0,5,8.95,PR14,,PR03,,,
P0212,S0001,2/1/2017,0,0,8,9.95,PR05,low,PR03,,,
P0213,S0001,2/1/2017,0,0,64,18.9,PR14,,PR03,,,
P0218,S0001,2/1/2017,0,0,6,59.9,PR05,moderate,PR03,,,
P0219,S0001,2/1/2017,1,6.71,6,7.25,PR14,,PR03,,,
P0220,S0001,2/1/2017,0,0,23,1.75,PR14,,PR03,,,
P0223,S0001,2/1/2017,0,0,6,7.5,PR14,,PR03,,,
P0225,S0001,2/1/2017,0,0,16,2.25,PR14,,PR03,,,
P0226,S0001,2/1/2017,0,0,3,1.5,PR14,,PR03,,,
P0227,S0001,2/1/2017,0,0,3,8,PR14,,PR03,,,
